9477	-118.3704543	34.0908443833	American
9478	-118.3709692833	34.0907371	Other - Art & Culture
9479	-118.3727502667	34.0910053167	Other - Art & Culture
9480	-118.3729004833	34.0907049167	American
9481	-118.3737158667	34.0907800167	Other - Shopping
9482	-118.374629166	34.0907759723	American
9483	-118.3752393667	34.09068345	French
9484	-118.3761405833	34.09030795	French
9485	-118.3769774333	34.0889668333	Other - Food 
9486	-118.3735013	34.0905869	French
9487	-118.3720636333	34.0905761667	Apparel
9488	-118.34427595	34.10928725	Grocery
9489	-118.3701109833	34.09075855	Burgers
9518	-118.4870553	34.0175879	Corporate Office
9523	-118.4896302167	34.0181350667	American
9779	-118.3237195	34.0740323	Italian
9780	-118.361485	34.13436055	Mexican
9781	-118.3435678333	34.0686249667	Frozen Yogurt
9782	-118.3938431667	34.1432225667	Frozen Yogurt
9783	-118.3595967167	34.13726805	Luxury Hotel
9827	-118.3801746333	34.1209280333	Dog Park
9884	-118.2402169704	34.0734129064	Stadium
10184	-118.4670352833	34.0301191667	Corporate Office
10190	-118.4071683884	33.9435379571	Airport
10504	-118.3766984833	34.0871214833	Asian Food
10509	-118.30777645	34.1802263167	Asian
10510	-118.3091711833	34.18124555	American
10511	-118.3109736333	34.1820931333	Cineplex
10587	-118.3095359667	34.1812992	Pub
10618	-118.3110809167	34.18239355	Coffee Shop
10666	-118.3079910167	34.18005465	Brewery / Microbrewery
10709	-118.3110594667	34.18157815	Dessert
11061	-118.4314193	34.0706389	Golf Course
11085	-118.1303644167	33.9355659333	Other - Medical
11087	-118.12826155	33.9374005667	Coffee Shop
12900	-118.5129117833	34.18649195	Farmers Market
13753	-118.3991003	34.0628314	Coffee Shop
13760	-118.3057165	34.1244578333	Scenic Lookout
13761	-118.3003655076	34.1188950206	Monument
13774	-118.3003735542	34.1183065768	Planetarium
13788	-118.415697813	34.0575660573	Modern Hotel
13795	-118.38888645	34.08171415	Italian
13832	-118.4950160833	34.00879025	Playground
13837	-118.4976553833	34.00916575	Arcade
13841	-118.49812745	34.00860785	Theme Park
13846	-118.4995222	34.0076100667	Mexican
13854	-118.4972047667	34.009552	Seafood
13855	-118.4963464667	34.0100347833	Other - Entertainment
13856	-118.4949731667	34.0115261	Italian
13883	-118.48596095	34.0043914167	Coffee Shop
13890	-118.4949088	34.0147233	Cineplex
13893	-118.4956812833	34.0155386833	Toys & Games
13898	-118.4971833167	34.0165901167	Apparel
13907	-118.498963697	34.0185989626	Grocery
13912	-118.4954023333	34.01682615	Grocery
13955	-118.3594679667	34.0721654833	Breakfast
13961	-118.3589637279	34.0724175663	Toys & Games
13965	-118.3585238333	34.0721869333	Sculpture
13968	-118.35826635	34.072026	Barnes & Noble
13969	-118.357847929	34.0722309386	Apple Store
13970	-118.3592963167	34.0719079833	Grocery
13971	-118.3579444833	34.0721440167	American
13972	-118.357832	34.071867	Cineplex
13973	-118.3576977212	34.0717302417	Coffee Shop
14098	-118.4317588667	34.00417685	Coffee Shop
14181	-118.2551622333	34.0507078167	Library
14603	-118.4100651667	34.06191945	High School
14635	-118.2635521833	34.0432405333	Mexican
14637	-118.2671570778	34.0430230998	Stadium
14709	-118.26584815	34.04432415	Other - Entertainment
14761	-118.4043574167	34.0667045	Apparel
14762	-118.4069752693	34.058543795	City Park
14766	-118.40064525	34.0669512667	Four Seasons
14767	-118.3979630333	34.0692687	Whole Foods
14768	-118.40038775	34.0718328833	City Hall
14769	-118.3996582	34.07304525	Library
14770	-118.4057736333	34.0697622167	Bakery
15081	-118.1509208667	34.1466450667	Italian
15261	-118.37184905	34.0726697333	Sandwich Shop
15291	-118.36150645	34.0784955	Diner
15530	-118.3756899834	34.0647388345	Corporate Office
16414	-118.3630996943	34.0838610508	Apparel
16468	-118.3529745167	34.1363168833	Other - Entertainment
16500	-118.4983634949	34.0085313891	Historic Landmark
16548	-118.2839614333	34.0516490833	Mexican
16568	-118.3392036333	34.1021696667	Mall
16576	-118.34436685	34.0861724833	Other - Shopping
16865	-118.2609128952	34.0488903633	Mall
16918	-118.371804	34.1407343333	Dessert
16971	-118.4197935557	34.058080792	Apple Store
17033	-118.14428323	34.0389477	Asian Food
17355	-118.4744918346	34.0774474692	Traditional Art Museum
17591	-118.3968384167	33.9527626667	City Park
17594	-118.4158870167	33.92475495	High School
17623	-118.4302632	33.9200237667	Beach
